"","subj","k","mean","2.5%","97.5%","parameter","model"
"118",22,4,0.897873343185,0.6980787105,1.0956811,"w4","influence_proba"
"119",23,4,0.9655986715375,0.811604722,1.1334476925,"w4","influence_proba"
"120",24,4,0.9270783206575,0.762297751,1.0930417575,"w4","influence_proba"
"121",25,4,0.9737812739125,0.7956554165,1.16551606,"w4","influence_proba"
"122",26,4,0.9135231387775,0.76006126975,1.0715427775,"w4","influence_proba"
"123",27,4,1.0180144715375,0.853131976,1.203930525,"w4","influence_proba"
"124",28,4,0.9090144943525,0.722185655,1.099185995,"w4","influence_proba"
"125",29,4,1.1521365504675,0.96068704525,1.36681921,"w4","influence_proba"
"126",30,4,0.94703361896,0.7646009115,1.139621845,"w4","influence_proba"
"127",31,4,0.98002455565,0.7857917965,1.1933746875,"w4","influence_proba"
"128",32,4,0.985181659395,0.77977562575,1.202094775,"w4","influence_proba"
"129",1,5,0.99471555581,0.81358854425,1.1775994175,"w5","influence_proba"
"130",2,5,1.0269920249175,0.9015173105,1.17593786,"w5","influence_proba"
"131",3,5,1.0329827832275,0.8983037335,1.194760415,"w5","influence_proba"
"132",4,5,1.0101791578925,0.86233029175,1.171673225,"w5","influence_proba"
"133",5,5,1.002501166765,0.853372385,1.1603546425,"w5","influence_proba"
"134",6,5,0.9206049191925,0.75649343425,1.0519083,"w5","influence_proba"
"135",7,5,1.0087761630125,0.86023024025,1.164267775,"w5","influence_proba"
"136",8,5,0.9933673296525,0.84320615775,1.13807877,"w5","influence_proba"
"137",9,5,1.05084248101,0.91407307875,1.2299635975,"w5","influence_proba"
"138",10,5,1.0183383200375,0.898096179,1.1601604575,"w5","influence_proba"
"139",11,5,0.9359257137275,0.79837117725,1.0528452775,"w5","influence_proba"
"140",12,5,0.99145247017,0.85723458375,1.1262713875,"w5","influence_proba"
"141",13,5,1.0293824163275,0.88341051925,1.2021534425,"w5","influence_proba"
"142",14,5,0.94547574373,0.75760923525,1.091456115,"w5","influence_proba"
"143",15,5,1.0321750905625,0.89405318075,1.1973121025,"w5","influence_proba"
"144",16,5,1.011499639705,0.84165389425,1.18981216,"w5","influence_proba"
"145",17,5,1.05145197515,0.912120085,1.2446466275,"w5","influence_proba"
"146",18,5,0.9606308564925,0.77004683875,1.1061842275,"w5","influence_proba"
"147",19,5,0.98791021508,0.8265624985,1.1377955625,"w5","influence_proba"
"148",20,5,1.03153910585,0.90496435875,1.1868963175,"w5","influence_proba"
"149",21,5,1.0130936063125,0.883962143,1.155743415,"w5","influence_proba"
"150",22,5,0.9506348405425,0.784988447,1.08527053,"w5","influence_proba"
"151",23,5,1.1009968254125,0.963105589,1.2920215725,"w5","influence_proba"
"152",24,5,0.9810118308525,0.83222325825,1.1098579175,"w5","influence_proba"
"153",25,5,1.0390111447925,0.90219323825,1.22590725,"w5","influence_proba"
"154",26,5,1.039871995975,0.9256539645,1.1855810725,"w5","influence_proba"
"155",27,5,0.955421616165,0.786156697,1.084548695,"w5","influence_proba"
"156",28,5,0.9842398684525,0.83736580925,1.1253537025,"w5","influence_proba"
"157",29,5,0.9973929857475,0.860099413,1.13345768,"w5","influence_proba"
"158",30,5,0.98207190251,0.836861537,1.12117731,"w5","influence_proba"
"159",31,5,1.0083637649625,0.86155366,1.1687531825,"w5","influence_proba"
"160",32,5,0.9844091985625,0.80799172375,1.14358811,"w5","influence_proba"
"225",1,8,-0.0925352536671892,-0.31044409475,0.1307748435,"a_inf","influence_proba"
"226",2,8,0.5669298473425,0.46139782325,0.67880878525,"a_inf","influence_proba"
"227",3,8,0.9724308866775,0.816303546,1.1462846875,"a_inf","influence_proba"
"228",4,8,0.16606760948225,0.10524015275,0.233352104,"a_inf","influence_proba"
"229",5,8,0.0717337460103873,-0.0064944094425,0.15388874475,"a_inf","influence_proba"
"230",6,8,0.6658076514625,0.55743451775,0.7781271975,"a_inf","influence_proba"
"231",7,8,0.111865700649416,0.0306800793,0.19805151075,"a_inf","influence_proba"
"232",8,8,0.0157646358699766,-0.057905611775,0.0936118084,"a_inf","influence_proba"
"233",9,8,0.156887932934525,0.052952667525,0.2680237955,"a_inf","influence_proba"
"234",10,8,0.76962596534,0.67334701125,0.877919383,"a_inf","influence_proba"
"235",11,8,0.64467081395,0.5709461325,0.71760825675,"a_inf","influence_proba"
"236",12,8,0.67402395965,0.5696184315,0.78726534525,"a_inf","influence_proba"
"237",13,8,0.07509457542794,0.018549341675,0.13256439025,"a_inf","influence_proba"
"238",14,8,0.502450005705,0.36417861775,0.6474644895,"a_inf","influence_proba"
"239",15,8,0.51700456467,0.40957793625,0.63517343625,"a_inf","influence_proba"
"240",16,8,0.0513288795177265,-0.02693218525,0.132281115,"a_inf","influence_proba"
"241",17,8,0.16666196423925,0.097015203325,0.23884535275,"a_inf","influence_proba"
"242",18,8,0.296265345168,0.18067360625,0.42510369175,"a_inf","influence_proba"
"243",19,8,0.0269676338379357,-0.024228798,0.081876192125,"a_inf","influence_proba"
"244",20,8,0.1957426364325,0.14462576875,0.24869085475,"a_inf","influence_proba"
"245",21,8,0.6820366282275,0.53956990825,0.832773302,"a_inf","influence_proba"
"246",22,8,0.5393569945625,0.4218966605,0.66780405575,"a_inf","influence_proba"
"247",23,8,0.59274113799,0.4930685075,0.69914620425,"a_inf","influence_proba"
"248",24,8,0.52805700261,0.40490118125,0.65617286425,"a_inf","influence_proba"
"249",25,8,0.6593877575275,0.52404189925,0.79987760075,"a_inf","influence_proba"
"250",26,8,0.833026886395,0.7385303205,0.9313739215,"a_inf","influence_proba"
"251",27,8,0.311900817505,0.24769364275,0.3816661055,"a_inf","influence_proba"
"252",28,8,0.040949206106753,-0.015617263025,0.102208573,"a_inf","influence_proba"
"253",29,8,0.556017183035,0.4547812535,0.65914817325,"a_inf","influence_proba"
"254",30,8,0.5801143823675,0.433880459,0.73235418075,"a_inf","influence_proba"
"255",31,8,0.0087807323501894,-0.02162634765,0.039137064525,"a_inf","influence_proba"
"256",32,8,0.2950624922675,0.19244265075,0.4007638155,"a_inf","influence_proba"
"257",1,9,0.11293615892875,0.10029719,0.1261255525,"b_inf","influence_proba"
"258",2,9,0.0872482307435,0.068683443825,0.1060489105,"b_inf","influence_proba"
"259",3,9,0.040928166612524,0.0136013731,0.06788208585,"b_inf","influence_proba"
"260",4,9,0.10478105827775,0.091583702875,0.118301839,"b_inf","influence_proba"
"261",5,9,0.2567411660825,0.23534048425,0.2770319485,"b_inf","influence_proba"
"262",6,9,0.1485911506525,0.12832184625,0.169603834,"b_inf","influence_proba"
"263",7,9,0.2249807474075,0.20208817725,0.24715702125,"b_inf","influence_proba"
"264",8,9,0.1101311982235,0.090215473275,0.1302779865,"b_inf","influence_proba"
"265",9,9,0.218891941395,0.192299709,0.2457600825,"b_inf","influence_proba"
"266",10,9,0.059610274555,0.04546539945,0.07382400445,"b_inf","influence_proba"
"267",11,9,0.06994427354925,0.054311268925,0.08582184895,"b_inf","influence_proba"
"268",12,9,0.0332255109323925,0.01184271055,0.054472565975,"b_inf","influence_proba"
"269",13,9,0.3222631298675,0.3088212285,0.3358478085,"b_inf","influence_proba"
"270",14,9,0.0309488109562225,0.0060677564675,0.056143456425,"b_inf","influence_proba"
"271",15,9,0.14123350582525,0.1198931705,0.1626507185,"b_inf","influence_proba"
"272",16,9,0.0414388923565,0.027113098475,0.05689331555,"b_inf","influence_proba"
"273",17,9,0.237875921705,0.22085024575,0.25480268275,"b_inf","influence_proba"
"274",18,9,0.1786784199075,0.16060888775,0.196767929,"b_inf","influence_proba"
"275",19,9,0.0671886490035,0.05257957825,0.08186754565,"b_inf","influence_proba"
"276",20,9,0.081761075437,0.0713246459,0.0918378593,"b_inf","influence_proba"
"277",21,9,0.095171346458,0.059936639325,0.13022694875,"b_inf","influence_proba"
"278",22,9,0.0685247247005,0.045040553725,0.0916762678,"b_inf","influence_proba"
"279",23,9,0.0801244993765,0.0657810477,0.094876598025,"b_inf","influence_proba"
"280",24,9,0.17553483601,0.1491445955,0.2018124025,"b_inf","influence_proba"
"281",25,9,0.166031867015,0.1391673495,0.1916306475,"b_inf","influence_proba"
"282",26,9,0.033501068784125,0.01944911095,0.04778436925,"b_inf","influence_proba"
"283",27,9,0.2106288674725,0.1947411865,0.22656611325,"b_inf","influence_proba"
"284",28,9,0.11860054866975,0.102848796,0.1342109105,"b_inf","influence_proba"
"285",29,9,0.12194029603,0.103318561,0.1416850365,"b_inf","influence_proba"
"286",30,9,0.071540253091,0.045640573075,0.097411600175,"b_inf","influence_proba"
"287",31,9,0.100841464523,0.09296294535,0.108819156,"b_inf","influence_proba"
"288",32,9,0.094029753813,0.074904681375,0.112906128,"b_inf","influence_proba"
"289",1,10,0.11173347355025,0.1033685605,0.12114387525,"sigma_inf","influence_proba"
"290",2,10,0.1440746109825,0.1325649295,0.156522437,"sigma_inf","influence_proba"
"291",3,10,0.2145394527875,0.19726169275,0.2335032825,"sigma_inf","influence_proba"
"292",4,10,0.102120566888,0.093932244125,0.11128518725,"sigma_inf","influence_proba"
"293",5,10,0.168849307345,0.1556434325,0.183650644,"sigma_inf","influence_proba"
"294",6,10,0.1507598636825,0.1392629945,0.164326482,"sigma_inf","influence_proba"
"295",7,10,0.17929162884,0.16509622925,0.194730719,"sigma_inf","influence_proba"
"296",8,10,0.1640654703475,0.15202933675,0.1777246145,"sigma_inf","influence_proba"
"297",9,10,0.2162916077425,0.199476149,0.2359543045,"sigma_inf","influence_proba"
"298",10,10,0.1078157904795,0.098904899025,0.11782288325,"sigma_inf","influence_proba"
"299",11,10,0.116739963999,0.10766580225,0.1265131955,"sigma_inf","influence_proba"
"300",12,10,0.1561557763825,0.14387891975,0.169895782,"sigma_inf","influence_proba"
"301",13,10,0.1048153766825,0.09682413855,0.113719291,"sigma_inf","influence_proba"
"302",14,10,0.2099749308075,0.1931512625,0.22868400525,"sigma_inf","influence_proba"
"303",15,10,0.1798989648775,0.16605189975,0.195266606,"sigma_inf","influence_proba"
"304",16,10,0.12071077174,0.1116772985,0.13075955475,"sigma_inf","influence_proba"
"305",17,10,0.13507101049,0.12453640025,0.14671862375,"sigma_inf","influence_proba"
"306",18,10,0.150942387015,0.1388975955,0.16431294125,"sigma_inf","influence_proba"
"307",19,10,0.1130464318315,0.10451645425,0.122086825,"sigma_inf","influence_proba"
"308",20,10,0.0809979174085,0.07451499235,0.088126893825,"sigma_inf","influence_proba"
"309",21,10,0.2652956199,0.2440827225,0.28820243375,"sigma_inf","influence_proba"
"310",22,10,0.1700508909925,0.15617722125,0.1851000135,"sigma_inf","influence_proba"
"311",23,10,0.10475038175775,0.095725334075,0.11444001,"sigma_inf","influence_proba"
"312",24,10,0.2015921447025,0.18548401525,0.21911643175,"sigma_inf","influence_proba"
"313",25,10,0.206840628795,0.1908718225,0.2252466905,"sigma_inf","influence_proba"
"314",26,10,0.1066963245995,0.09803922995,0.1161408725,"sigma_inf","influence_proba"
"315",27,10,0.11959709907,0.1106333745,0.129254344,"sigma_inf","influence_proba"
"316",28,10,0.1258321683675,0.1161673065,0.136119435,"sigma_inf","influence_proba"
"317",29,10,0.1485804393125,0.13680765025,0.16153183975,"sigma_inf","influence_proba"
"318",30,10,0.1937295898775,0.17754906475,0.21141233275,"sigma_inf","influence_proba"
"319",31,10,0.0615230226385,0.056536598875,0.0669694142,"sigma_inf","influence_proba"
"320",32,10,0.1490398226625,0.1372428625,0.16209291,"sigma_inf","influence_proba"
